Date,Place,Opp,Result,TmScore,OppScore,FG,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FGOpp,FGAOpp,FG%Opp,3POpp,3PAOpp,3P%Opp,FTOpp,FTAOpp,FT%Opp,ORBOpp,TRBOpp,ASTOpp,STLOpp,BLKOpp,TOVOpp,PFOpp,Team
2020-12-22,1,Montana,W,70,64,24,57,0.421,3,14,0.214,19,34,0.559,11,31,13,6,5,7,18,20,46,0.435,4,10,0.4,20,22,0.909,5,31,9,1,4,18,26,arizona
2020-12-28,1,Colorado,W,88,74,30,57,0.526,8,17,0.471,20,27,0.741,8,29,20,4,2,8,17,24,55,0.436,12,26,0.462,14,17,0.824,8,28,14,5,2,13,22,arizona
2020-12-31,0,Washington,W,80,53,29,69,0.42,6,17,0.353,16,26,0.615,13,45,14,6,7,10,16,20,64,0.313,6,31,0.194,7,11,0.636,8,29,7,8,3,10,15,arizona
2021-01-02,0,Washington State,W,86,82,28,75,0.373,5,22,0.227,25,32,0.781,13,49,12,8,4,11,29,28,69,0.406,7,28,0.25,19,37,0.514,13,45,11,6,4,14,22,arizona
2021-01-07,1,USC,L,73,87,25,62,0.403,4,16,0.25,19,26,0.731,10,32,17,7,0,10,20,31,53,0.585,8,14,0.571,17,23,0.739,3,32,16,5,4,13,20,arizona
2021-01-09,1,UCLA,L,76,81,28,65,0.431,8,23,0.348,12,16,0.75,13,30,15,5,2,9,25,24,49,0.49,6,13,0.462,27,32,0.844,10,31,6,4,0,9,17,arizona
2021-01-14,0,Oregon State,W,98,64,35,61,0.574,8,17,0.471,20,26,0.769,11,39,21,8,6,10,15,25,61,0.41,5,22,0.227,9,14,0.643,6,25,16,8,4,12,22,arizona
2021-01-21,0,Arizona State,W,84,82,29,61,0.475,11,20,0.55,15,17,0.882,7,33,17,6,5,13,23,25,54,0.463,11,21,0.524,21,29,0.724,6,27,16,8,6,16,16,arizona
2021-01-25,1,Arizona State,W,80,67,23,43,0.535,2,6,0.333,32,43,0.744,3,36,13,10,7,16,15,25,69,0.362,8,31,0.258,9,11,0.818,8,27,11,3,5,12,29,arizona
2021-01-28,1,Stanford,L,64,73,22,53,0.415,8,19,0.421,12,15,0.8,5,28,15,4,4,18,15,26,53,0.491,7,17,0.412,14,21,0.667,3,28,12,8,5,12,15,arizona
2021-01-30,1,California,W,71,50,27,52,0.519,6,13,0.462,11,18,0.611,8,32,17,8,4,11,14,18,47,0.383,7,22,0.318,7,11,0.636,4,20,8,3,2,16,17,arizona
2021-02-04,0,Utah,L,58,73,20,54,0.37,2,9,0.222,16,20,0.8,13,32,12,6,3,12,15,27,53,0.509,8,15,0.533,11,14,0.786,7,28,10,7,2,9,22,arizona
2021-02-06,0,Colorado,L,79,82,27,55,0.491,7,17,0.412,18,23,0.783,9,23,18,6,2,8,15,29,52,0.558,11,20,0.55,13,17,0.765,5,17,15,6,2,9,21,arizona
